,,Parameter,Nominal,,,,,,temp_0,temp_1,temp_2
,,temperature,27,,,,,,-40,25,125

Point,Test,Output,Nominal,Spec,Weight,Pass/Fail,Min,Max,temp_0,temp_1,temp_2
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=1.8, ch5=1.8, ch6=0, ch7=0",,,,,,,,,,,
93,base_setup,diff,44.01e-3,,,,42.94e-3,46e-3,42.94e-3,43.97e-3,46e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=1.8, ch5=1.8, ch6=0, ch7=1.8",,,,,,,,,,,
94,base_setup,diff,92.8e-3,,,,87.65e-3,96.64e-3,96.64e-3,92.9e-3,87.65e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=1.8, ch5=1.8, ch6=1.8, ch7=0",,,,,,,,,,,
95,base_setup,diff,-24.36e-3,,,,-25.88e-3,-22.52e-3,-25.88e-3,-24.4e-3,-22.52e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=1.8, ch5=1.8, ch6=1.8, ch7=1.8",,,,,,,,,,,
96,base_setup,diff,24.5e-3,,,,18.98e-3,28.38e-3,28.38e-3,24.61e-3,18.98e-3
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=0, ch4=0, ch5=0, ch6=0, ch7=0",,,,,,,,,,,
97,base_setup,diff,53.13e-3,,,,49.4e-3,57.95e-3,49.4e-3,53.03e-3,57.95e-3
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=0, ch4=0, ch5=0, ch6=0, ch7=1.8",,,,,,,,,,,
98,base_setup,diff,100.5e-3,,,,98.31e-3,101.6e-3,101.6e-3,100.5e-3,98.31e-3
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0",,,,,,,,,,,
99,base_setup,diff,-14.58e-3,,,,-18.1e-3,-9.95e-3,-18.1e-3,-14.69e-3,-9.95e-3
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8",,,,,,,,,,,
100,base_setup,diff,32.84e-3,,,,30.34e-3,34.55e-3,34.55e-3,32.89e-3,30.34e-3
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0",,,,,,,,,,,
101,base_setup,diff,10.77e-3,,,,4.116e-3,20e-3,4.116e-3,10.58e-3,20e-3
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=1.8",,,,,,,,,,,
102,base_setup,diff,58.99e-3,,,,57.49e-3,61.09e-3,57.49e-3,58.94e-3,61.09e-3
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=0, ch4=0, ch5=1.8, ch6=1.8, ch7=0",,,,,,,,,,,
